Trace1,,,,
Freq,,Amp,,
            54197941,Hz,             -101.40, dBm,
            54202947,Hz,              -98.54, dBm,
            54207953,Hz,              -99.42, dBm,
            54212959,Hz,             -100.91, dBm,
            54217965,Hz,              -99.99, dBm,
            54222971,Hz,              -99.21, dBm,
            54227977,Hz,              -99.90, dBm,
            54232983,Hz,              -96.95, dBm,
            54237989,Hz,              -97.75, dBm,
            54242995,Hz,             -108.01, dBm,
            54248001,Hz,             -102.46, dBm,
            54253007,Hz,              -98.86, dBm,
            54258013,Hz,              -99.43, dBm,
            54263019,Hz,              -95.91, dBm,
            54268025,Hz,              -99.50, dBm,
            54273031,Hz,              -99.44, dBm,
            54278037,Hz,              -96.47, dBm,
            54283043,Hz,              -97.80, dBm,
            54288049,Hz,              -99.85, dBm,
            54293055,Hz,             -102.84, dBm,
            54298061,Hz,             -100.16, dBm,
            54303067,Hz,             -104.16, dBm,
            54308073,Hz,              -98.92, dBm,
            54313079,Hz,              -98.59, dBm,
            54318085,Hz,              -99.50, dBm,
            54323091,Hz,             -103.92, dBm,
            54328097,Hz,              -98.67, dBm,
            54333103,Hz,              -98.39, dBm,
            54338109,Hz,             -100.43, dBm,
            54343115,Hz,              -96.03, dBm,
            54348121,Hz,             -103.01, dBm,
            54353127,Hz,             -102.43, dBm,
            54358133,Hz,              -98.70, dBm,
            54363139,Hz,             -101.04, dBm,
            54368145,Hz,              -98.52, dBm,
            54373151,Hz,              -97.45, dBm,
            54378157,Hz,              -95.32, dBm,
            54383163,Hz,              -98.11, dBm,
            54388169,Hz,             -101.85, dBm,
            54393175,Hz,              -95.94, dBm,
            54398181,Hz,              -96.39, dBm,
            54403187,Hz,              -99.33, dBm,
            54408193,Hz,             -100.63, dBm,
            54413199,Hz,              -98.68, dBm,
            54418205,Hz,             -103.58, dBm,
            54423211,Hz,              -98.55, dBm,
            54428217,Hz,              -99.91, dBm,
            54433223,Hz,              -97.97, dBm,
            54438229,Hz,             -100.54, dBm,
            54443235,Hz,              -97.59, dBm,
            54448241,Hz,             -103.45, dBm,
            54453247,Hz,             -101.04, dBm,
            54458253,Hz,              -99.70, dBm,
            54463259,Hz,              -98.35, dBm,
            54468265,Hz,             -101.30, dBm,
            54473271,Hz,              -98.96, dBm,
            54478277,Hz,             -101.69, dBm,
            54483283,Hz,              -98.68, dBm,
            54488289,Hz,             -102.59, dBm,
            54493295,Hz,              -97.31, dBm,
            54498301,Hz,             -104.86, dBm,
            54503307,Hz,              -98.88, dBm,
            54508313,Hz,             -103.10, dBm,
            54513319,Hz,              -96.17, dBm,
            54518325,Hz,             -105.58, dBm,
            54523331,Hz,              -96.92, dBm,
            54528337,Hz,             -101.79, dBm,
            54533343,Hz,             -102.67, dBm,
            54538349,Hz,             -101.66, dBm,
            54543355,Hz,             -104.13, dBm,
            54548361,Hz,             -103.90, dBm,
            54553367,Hz,              -96.68, dBm,
            54558373,Hz,              -98.30, dBm,
            54563379,Hz,              -96.19, dBm,
            54568385,Hz,              -94.84, dBm,
            54573391,Hz,             -100.20, dBm,
            54578397,Hz,              -97.84, dBm,
            54583403,Hz,             -103.26, dBm,
            54588409,Hz,              -97.65, dBm,
            54593415,Hz,              -93.81, dBm,
            54598421,Hz,              -97.85, dBm,
            54603427,Hz,             -101.87, dBm,
            54608433,Hz,              -95.94, dBm,
            54613439,Hz,              -99.22, dBm,
            54618445,Hz,              -97.55, dBm,
            54623451,Hz,              -96.85, dBm,
            54628457,Hz,              -98.34, dBm,
            54633463,Hz,              -97.57, dBm,
            54638469,Hz,              -98.87, dBm,
            54643475,Hz,             -101.77, dBm,
            54648481,Hz,             -100.35, dBm,
            54653487,Hz,              -94.99, dBm,
            54658493,Hz,              -98.00, dBm,
            54663499,Hz,              -99.39, dBm,
            54668505,Hz,             -100.13, dBm,
