Trace1,,,,
Freq,,Amp,,
           104174424,Hz,              -88.45, dBm,
           104187030,Hz,              -89.54, dBm,
           104199636,Hz,              -89.03, dBm,
           104212242,Hz,              -89.12, dBm,
           104224848,Hz,              -89.92, dBm,
           104237454,Hz,              -89.38, dBm,
           104250060,Hz,              -90.22, dBm,
           104262666,Hz,              -89.78, dBm,
           104275272,Hz,              -90.67, dBm,
           104287878,Hz,              -89.05, dBm,
           104300484,Hz,              -89.89, dBm,
           104313090,Hz,              -90.15, dBm,
           104325696,Hz,              -90.54, dBm,
           104338302,Hz,              -89.94, dBm,
           104350908,Hz,              -90.61, dBm,
           104363514,Hz,              -89.38, dBm,
           104376120,Hz,              -90.29, dBm,
           104388726,Hz,              -89.62, dBm,
           104401332,Hz,              -90.37, dBm,
           104413938,Hz,              -90.58, dBm,
           104426544,Hz,              -91.95, dBm,
           104439150,Hz,              -91.50, dBm,
           104451756,Hz,              -91.00, dBm,
           104464362,Hz,              -91.16, dBm,
           104476968,Hz,              -91.88, dBm,
           104489574,Hz,              -91.20, dBm,
           104502180,Hz,              -90.90, dBm,
           104514786,Hz,              -91.32, dBm,
           104527392,Hz,              -91.19, dBm,
           104539998,Hz,              -91.38, dBm,
           104552604,Hz,              -92.49, dBm,
           104565210,Hz,              -92.32, dBm,
           104577816,Hz,              -91.41, dBm,
           104590422,Hz,              -91.60, dBm,
           104603028,Hz,              -92.41, dBm,
           104615634,Hz,              -92.56, dBm,
           104628240,Hz,              -92.31, dBm,
           104640846,Hz,              -92.76, dBm,
           104653452,Hz,              -91.89, dBm,
           104666058,Hz,              -92.27, dBm,
           104678664,Hz,              -92.08, dBm,
           104691270,Hz,              -92.35, dBm,
           104703876,Hz,              -92.52, dBm,
           104716482,Hz,              -93.17, dBm,
           104729088,Hz,              -92.62, dBm,
           104741694,Hz,              -92.47, dBm,
           104754300,Hz,              -92.59, dBm,
           104766906,Hz,              -93.17, dBm,
           104779512,Hz,              -93.07, dBm,
           104792118,Hz,              -92.70, dBm,
           104804724,Hz,              -92.80, dBm,
           104817330,Hz,              -93.08, dBm,
           104829936,Hz,              -93.03, dBm,
           104842542,Hz,              -92.78, dBm,
           104855148,Hz,              -92.98, dBm,
           104867754,Hz,              -93.35, dBm,
           104880360,Hz,              -93.14, dBm,
           104892966,Hz,              -93.18, dBm,
           104905572,Hz,              -92.98, dBm,
           104918178,Hz,              -92.63, dBm,
           104930784,Hz,              -92.79, dBm,
           104943390,Hz,              -92.85, dBm,
           104955996,Hz,              -92.68, dBm,
           104968602,Hz,              -92.13, dBm,
           104981208,Hz,              -91.97, dBm,
           104993814,Hz,              -92.20, dBm,
           105006420,Hz,              -91.85, dBm,
           105019026,Hz,              -92.12, dBm,
           105031632,Hz,              -91.24, dBm,
           105044238,Hz,              -90.90, dBm,
           105056844,Hz,              -90.02, dBm,
           105069450,Hz,              -89.02, dBm,
           105082056,Hz,              -88.84, dBm,
           105094662,Hz,              -89.03, dBm,
           105107268,Hz,              -87.89, dBm,
           105119874,Hz,              -87.09, dBm,
           105132480,Hz,              -86.19, dBm,
           105145086,Hz,              -85.94, dBm,
           105157692,Hz,              -85.03, dBm,
           105170298,Hz,              -85.70, dBm,
           105182904,Hz,              -87.84, dBm,
           105195510,Hz,              -88.52, dBm,
           105208116,Hz,              -89.41, dBm,
           105220722,Hz,              -89.31, dBm,
           105233328,Hz,              -90.44, dBm,
           105245934,Hz,              -90.92, dBm,
           105258540,Hz,              -92.01, dBm,
           105271146,Hz,              -92.55, dBm,
           105283752,Hz,              -92.94, dBm,
           105296358,Hz,              -93.25, dBm,
           105308964,Hz,              -93.91, dBm,
           105321570,Hz,              -93.74, dBm,
           105334176,Hz,              -93.66, dBm,
           105346782,Hz,              -94.13, dBm,
           105359388,Hz,              -94.78, dBm,
           105371994,Hz,              -94.51, dBm,
           105384600,Hz,              -94.50, dBm,
           105397206,Hz,              -95.12, dBm,
           105409812,Hz,              -94.89, dBm,
           105422418,Hz,              -95.08, dBm,
           105435024,Hz,              -94.74, dBm,
           105447630,Hz,              -95.24, dBm,
           105460236,Hz,              -95.43, dBm,
           105472842,Hz,              -95.02, dBm,
           105485448,Hz,              -95.18, dBm,
           105498054,Hz,              -94.87, dBm,
           105510660,Hz,              -95.45, dBm,
           105523266,Hz,              -95.12, dBm,
           105535872,Hz,              -95.35, dBm,
           105548478,Hz,              -95.58, dBm,
           105561084,Hz,              -95.36, dBm,
           105573690,Hz,              -95.59, dBm,
           105586296,Hz,              -95.74, dBm,
           105598902,Hz,              -96.06, dBm,
           105611508,Hz,              -95.89, dBm,
           105624114,Hz,              -95.70, dBm,
           105636720,Hz,              -96.17, dBm,
           105649326,Hz,              -95.84, dBm,
           105661932,Hz,              -95.93, dBm,
           105674538,Hz,              -96.10, dBm,
           105687144,Hz,              -95.78, dBm,
           105699750,Hz,              -96.01, dBm,
           105712356,Hz,              -95.70, dBm,
           105724962,Hz,              -96.09, dBm,
           105737568,Hz,              -95.95, dBm,
           105750174,Hz,              -96.18, dBm,
           105762780,Hz,              -95.82, dBm,
           105775386,Hz,              -95.97, dBm,
           105787992,Hz,              -96.10, dBm,
           105800598,Hz,              -95.82, dBm,
           105813204,Hz,              -96.00, dBm,
           105825810,Hz,              -95.98, dBm,
           105838416,Hz,              -96.05, dBm,
           105851022,Hz,              -95.87, dBm,
           105863628,Hz,              -95.77, dBm,
           105876234,Hz,              -95.77, dBm,
           105888840,Hz,              -95.81, dBm,
           105901446,Hz,              -95.67, dBm,
           105914052,Hz,              -95.67, dBm,
           105926658,Hz,              -95.85, dBm,
           105939264,Hz,              -95.81, dBm,
           105951870,Hz,              -95.84, dBm,
           105964476,Hz,              -95.75, dBm,
           105977082,Hz,              -95.76, dBm,
           105989688,Hz,              -95.86, dBm,
           106002294,Hz,              -95.69, dBm,
           106014900,Hz,              -95.67, dBm,
           106027506,Hz,              -95.68, dBm,
           106040112,Hz,              -95.61, dBm,
